Week Start,Week End,Category,Transaction Count,Transaction Value SAR,Average Ticket SAR
2025-10-26,2025-11-01,Recreation & Culture,4555000,372251000,81.72360043907794
2025-10-26,2025-11-01,Restaurants & Cafés,61281000,1836404000,29.966939181801862
2025-10-26,2025-11-01,Telecommunication,4897000,242157000,49.450071472329995
2025-10-26,2025-11-01,Transportation,6839000,1170250000,171.11419798216113
2025-11-02,2025-11-08,"Apparel, Clothing & Accessories",10057000,1228105000,122.1144476484041
2025-11-02,2025-11-08,Bakeries & Pastries,7609000,261273000,34.33736364831121
2025-11-02,2025-11-08,Construction & Building Materials,2444000,416099000,170.25327332242225
2025-11-02,2025-11-08,Education,222000,179799000,809.9054054054054
2025-11-02,2025-11-08,Electronic & Electric Devices,1841000,194082000,105.42205323193916
2025-11-02,2025-11-08,Food & Beverages,53474000,2080656000,38.909675730261434
2025-11-02,2025-11-08,Furniture & Home Supplies,2677000,549357000,205.21367202091895
2025-11-02,2025-11-08,Gas Stations,17345000,980043000,56.50291150187374
2025-11-02,2025-11-08,Health,10683000,891720000,83.4709351305813
2025-11-02,2025-11-08,Hotels,763000,312937000,410.1402359108781
2025-11-02,2025-11-08,Jewelry,290000,348866000,1202.9862068965517
2025-11-02,2025-11-08,Laundry Services,3003000,55292000,18.412254412254413
2025-11-02,2025-11-08,Others,40207000,2251876000,56.007063446663516
2025-11-02,2025-11-08,Professional & Business Services,11770000,759430000,64.52251486830926
2025-11-02,2025-11-08,Public Utilities & Services,778000,51102000,65.68380462724936
2025-11-02,2025-11-08,Recreation & Culture,4094000,324394000,79.23644357596483
2025-11-02,2025-11-08,Restaurants & Cafés,57945000,1643329000,28.360151868150833
2025-11-02,2025-11-08,Telecommunication,4281000,183170000,42.786732071945806
2025-11-02,2025-11-08,Transportation,5991000,1003212000,167.45317976965447
2025-11-09,2025-11-15,"Apparel, Clothing & Accessories",9751000,1178278000,120.8366321402933
